Agency Name,Longitude,Latitude
New Haven SDA Church,-73.955807,40.674739
More Grace Redemptive Center Inc.,-73.903033,40.819606
Faith Apostolic Gospel Temple,-73.854777,40.885463
St. Luke's Senior Community Program,-73.858979,40.885013
St. Luke's Senior Community Program,-73.858979,40.885013
Inspirational Gospel Assembly,-73.909221,40.83143
Grace Reformed Church of Flatbush,-73.9572,40.661714
New Life Holiness Caring Hands Food Pantry,-73.851764,40.89769
Worldwide Movement Father Son and the Holy Spirit,-73.890724,40.849212
Bethel Community Outreach,-73.944556,40.685872
The Voices of Hagar,-73.872443,40.756755
Christ Apostolic Church WOSEM,-73.894167,40.855565
Whosoever Will Baptist Church,-73.920938,40.849287
ICNA Relief USA,-73.811671,40.704506
Power Praise and Deliverance Inc.,-73.900433,40.859615
Peniel SDA Church,-73.929756,40.643045
Bright Temple AME Church,-73.886957,40.817184
More Grace Redemptive Center Inc.,-73.95465,40.650166
International Pentecostal,-73.918019,40.65387
The Grace Of God Ministries Church Inc,-73.849425,40.89103
St. Edmund's Episcopal Church Outreach Program,-73.908088,40.849915
Pentecostal Rescue House of Prayer,-73.883204,40.673914
Mid-Bronx Food Pantry,-73.920196,40.83277
Emanuel Pentecostal Faith Church,-73.879748,40.831604
Queens Faith Temple Outreach Center,-73.751824,40.68
New Life Food & Clothing Pantry,-73.881076,40.737115
Family Worship Center Church of God of Prophecy,-73.81885,40.822723
Morrisania Revitalization Corp. Inc.,-73.906898,40.825565
Bedford Central Presbyterian Church,-73.949582,40.676721
Bronx Bethany Community Corporation,-73.851798,40.886531
First Presbyterian Church,-73.993431,40.696995
Antioch Outreach,-73.944246,40.80651
St. Cecilia's Gift of Love Food Pantry,-73.941789,40.719904
Fort Greene Hugh Gilroy Senior Center,-73.92474,40.67555
Fort Greene Council Hazel Brooks Neighborhood Ctr.,-73.95871,40.63898
UJC Of the East Side,-73.983082,40.715845
Aishel Shabbat,-73.962789,40.607627
City of Faith Church of God,-73.867255,40.876867
Community Services Housing Development Corp.,-73.919821,40.66901
