boro_code,boro_name,county_fip,ntacode,ntaname,shape_area,shape_leng,mealgap
2,Bronx,5,BX33,Longwood,10732452.18,18982.12966,0
2,Bronx,5,BX10,Pelham Bay-Country Club-City Island,40134533.23,138249.4367,0
2,Bronx,5,BX31,Allerton-Pelham Gardens,31693044.28,25467.11743,0
2,Bronx,5,BX08,West Farms-Bronx River,15084986.3,17477.29476,0
2,Bronx,5,BX46,Parkchester,9184677.1,12411.78821,0
2,Bronx,5,BX55,Soundview-Bruckner,16253358.28,19756.55979,0
2,Bronx,5,BX28,Van Cortlandt Village,25666125.03,21945.71998,0
2,Bronx,5,BX62,Woodlawn-Wakefield,39738786.42,38694.04071,0
2,Bronx,5,BX07,Bronxdale,15185447.53,17432.17611,0
2,Bronx,5,BX98,Rikers Island,18163827.6,18898.11628,0
2,Bronx,5,BX52,Schuylerville-Throgs Neck-Edgewater Park,88439964.05,91304.79481,0
2,Bronx,5,BX26,Highbridge,16457635.52,18506.31019,0
2,Bronx,5,BX22,North Riverdale-Fieldston-Riverdale,49048279.09,31851.14245,0
2,Bronx,5,BX29,Spuyten Duyvil-Kingsbridge,23214112.68,27990.78839,0
2,Bronx,5,BX09,Soundview-Castle Hill-Clason Point-Harding Park,51983797.58,67340.97938,0
2,Bronx,5,BX35,Morrisania-Melrose,16891753.66,27740.84625,0
2,Bronx,5,BX43,Norwood,15724928.32,22150.30822,0
2,Bronx,5,BX05,Bedford Park-Fordham North,14998883.5,22565.48119,0
2,Bronx,5,BX40,Fordham South,6308875.236,15880.35207,0
2,Bronx,5,BX41,Mount Hope,14716710.84,18937.24816,0
2,Bronx,5,BX03,Eastchester-Edenwald-Baychester,40256794.25,59164.99931,0
2,Bronx,5,BX13,Co-op City,39833695,30327.12814,0
2,Bronx,5,BX17,East Tremont,19255162.83,29633.13638,0
2,Bronx,5,BX63,West Concourse,19379817.33,28499.04464,0
2,Bronx,5,BX49,Pelham Parkway,23032575.96,25823.03673,0
2,Bronx,5,BX30,Kingsbridge Heights,13163119.08,21108.81067,0
2,Bronx,5,BX36,University Heights-Morris Heights,21255485.46,24100.43204,0
2,Bronx,5,BX75,Crotona Park East,16310644.3,24773.57367,0
2,Bronx,5,BX27,Hunts Point,49739562.96,44690.37191,0
2,Bronx,5,BX44,Williamsbridge-Olinville,36275611.9,27332.42186,0
2,Bronx,5,BX99,park-cemetery-etc-Bronx,220837194.8,223421.1409,0
2,Bronx,5,BX14,East Concourse-Concourse Village,18221639.67,27199.91201,0
2,Bronx,5,BX01,Claremont-Bathgate,16451870.38,30053.13082,0
2,Bronx,5,BX06,Belmont,13559415.8,17117.28401,0
2,Bronx,5,BX37,Van Nest-Morris Park-Westchester Square,36302330.13,42870.30224,0
2,Bronx,5,BX59,Westchester-Unionport,23945259.13,26557.31914,0
2,Bronx,5,BX34,Melrose South-Mott Haven North,17271763.89,19589.19625,0
2,Bronx,5,BX39,Mott Haven-Port Morris,41898550.64,35603.73225,0
3,Brooklyn,47,BK88,Borough Park,54005019.05,39247.22783,0
3,Brooklyn,47,BK95,Erasmus,14522603.59,18756.70186,0
3,Brooklyn,47,BK25,Homecrest,29991967.28,27514.02292,0
